id,valor previsto
"1,35187831644984E+037",137612.76151915936
"2,99896161723793E+038",118787.23732771719
"3,16180649972302E+038",143406.50323254807
"2,22527157104148E+038",116951.03729787162
"1,60460343059851E+038",121427.73826785463
"2,62727202368986E+038",116641.3576809783
"2,540937642058E+038",142353.16782365934
"2,61181846130361E+037",124187.30889251025
"2,16524630140336E+035",144978.06970592545
"1,85631381169816E+038",137404.66000729642
"1,93325654448133E+038",144029.6207376907
"2,38917637717691E+038",144907.24878531456
"5,54308296792569E+037",143591.07513367198
"2,15317645068876E+038",144496.82210370508
"8,1597227204972E+037",140919.4675050792
"1,44896666825909E+038",142116.07698399614
"1,84599608599424E+038",146318.494170813
"3,32523842755767E+038",110244.10637630681
"1,15343777354603E+038",139522.04402534303
"2,07571702172355E+037",124473.96602807699
"1,85526399598538E+038",121124.10049355483
"6,06580428134898E+037",117846.32889351677
"2,5246965613647E+038",121695.67539869077
"1,44289133420258E+038",124220.44030064497
"2,86704706212187E+038",118954.52771788144
"1,04788498292329E+038",114546.6815075406
"8,30915515170481E+037",139698.66994740695
"2,5381924059925E+038",127727.78410596699
"4,75521002677692E+037",140473.28269374752
"1,4393254086709E+038",144489.96239065885
"1,96345985565471E+038",142611.31261408768
"2,44792708737469E+038",112200.25572108263
"8,45899404146645E+037",128379.10150526247
"2,72199586960888E+038",124561.03929031637
"4,99594395070267E+037",142718.80404201595
"2,81026519311658E+038",138432.76891990943
"9,30745641500148E+037",143671.1232106563
"2,67284013907929E+037",147164.96283252156
"1,88211565885838E+038",143573.25685300428
"7,24879461819488E+037",118345.70189146929
"2,28864048115976E+038",117039.01793933813
"1,12454259487643E+038",126647.26548084729
"2,22663295482952E+038",117603.87584405363
"1,74300102534869E+038",112667.56036440821
"6,56160681494779E+037",143530.5427934987
"1,25124292682606E+037",144024.63038047586
"3,36344009530167E+038",136634.9133006456
"7,95222865187926E+037",123524.15457883058
"8,26898022937759E+037",140366.04790577968
"1,45087209205382E+038",116670.75472609114
"1,48379644220249E+038",118863.92927721368
